Player,Previous_Season_Archetype,New_Season_Archetype,Changed Archetype?,Previous_Cluster,New_Cluster,Key Statistical Changes,Notes / Interpretation
Ivica Zubac,Interior Bigs,Defensive Rim Protectors,TRUE,3,1,TRB down 2.82 z; DRB down 2.81 z; ORB down 2.32 z; 2P down 2.27 z; FG down 2.10 z,Archetype changed; biggest standardized shifts: TRB down 2.82 z; DRB down 2.81 z; ORB down 2.32 z; 2P down 2.27 z; FG down 2.10 z
Jabari Smith Jr.,Low-Usage Role Players,Defensive Rim Protectors,TRUE,4,1,PF up 1.75 z; FGA up 1.40 z; FG up 1.32 z; 3PA up 1.29 z; 3P up 1.25 z,Archetype changed; biggest standardized shifts: PF up 1.75 z; FGA up 1.40 z; FG up 1.32 z; 3PA up 1.29 z; 3P up 1.25 z
Jakob Poeltl,Defensive Rim Protectors,Low-Usage Role Players,TRUE,1,4,BLK down 1.29 z; TRB down 1.26 z; ORB down 1.25 z; DRB down 1.16 z; 2PA down 1.16 z,Archetype changed; biggest standardized shifts: BLK down 1.29 z; TRB down 1.26 z; ORB down 1.25 z; DRB down 1.16 z; 2PA down 1.16 z
Jamal Murray,Versatile Two-Way Forwards,Primary Shot Creators,TRUE,6,7,3P up 1.45 z; FT up 1.21 z; FTA up 1.14 z; 3PA up 1.03 z; STL down 0.92 z,Archetype changed; biggest standardized shifts: 3P up 1.45 z; FT up 1.21 z; FTA up 1.14 z; 3PA up 1.03 z; STL down 0.92 z
Jaren Jackson Jr.,Versatile Two-Way Forwards,Defensive Rim Protectors,TRUE,6,1,PF down 2.00 z; FG down 1.73 z; FGA down 1.71 z; FTA down 1.55 z; STL down 1.53 z,Archetype changed; biggest standardized shifts: PF down 2.00 z; FG down 1.73 z; FGA down 1.71 z; FTA down 1.55 z; STL down 1.53 z
Jarrett Allen,Interior Bigs,Defensive Rim Protectors,TRUE,3,1,DRB down 1.94 z; TRB down 1.81 z; ORB down 1.19 z; BLK down 0.94 z; 2P down 0.87 z,Archetype changed; biggest standardized shifts: DRB down 1.94 z; TRB down 1.81 z; ORB down 1.19 z; BLK down 0.94 z; 2P down 0.87 z
Jaylen Brown,Versatile Two-Way Forwards,Primary Shot Creators,TRUE,6,7,FT up 1.72 z; FTA up 1.67 z; TOV up 1.62 z; 2PA up 1.62 z; FG up 1.52 z,Archetype changed; biggest standardized shifts: FT up 1.72 z; FTA up 1.67 z; TOV up 1.62 z; 2PA up 1.62 z; FG up 1.52 z
Jerami Grant,Low-Usage Role Players,Perimeter Shooters and Secondary Guards,TRUE,4,2,FTA up 1.21 z; FT up 1.16 z; TOV up 0.95 z; PF up 0.84 z; FG up 0.80 z,Archetype changed; biggest standardized shifts: FTA up 1.21 z; FT up 1.16 z; TOV up 0.95 z; PF up 0.84 z; FG up 0.80 z
Josh Giddey,Versatile Two-Way Forwards,Perimeter Shooters and Secondary Guards,TRUE,6,2,Trp-Dbl down 2.27 z; STL down 1.17 z; ORB down 1.05 z; PF down 0.76 z; TRB down 0.66 z,Archetype changed; biggest standardized shifts: Trp-Dbl down 2.27 z; STL down 1.17 z; ORB down 1.05 z; PF down 0.76 z; TRB down 0.66 z
Josh Hart,Interior Bigs,Defensive Rim Protectors,TRUE,3,1,Trp-Dbl down 2.92 z; STL down 1.82 z; TRB down 1.40 z; DRB down 1.39 z; ORB down 1.16 z,Archetype changed; biggest standardized shifts: Trp-Dbl down 2.92 z; STL down 1.82 z; TRB down 1.40 z; DRB down 1.39 z; ORB down 1.16 z
