Player,Previous_Season_Archetype,New_Season_Archetype,Changed Archetype?,Previous_Cluster,New_Cluster,Key Statistical Changes,Notes / Interpretation
Jaden McDaniels,Defensive Rim Protectors,Defensive Rim Protectors,FALSE,1,1,STL down 1.16 z; ORB down 0.95 z; TRB down 0.92 z; DRB down 0.83 z; TOV up 0.63 z,Archetype stayed the same; biggest standardized shifts: STL down 1.16 z; ORB down 0.95 z; TRB down 0.92 z; DRB down 0.83 z; TOV up 0.63 z
Jalen Brunson,Primary Shot Creators,Primary Shot Creators,FALSE,7,7,FGA up 0.94 z; PF up 0.81 z; 3PA up 0.80 z; FG up 0.71 z; 3P up 0.64 z,Archetype stayed the same; biggest standardized shifts: FGA up 0.94 z; PF up 0.81 z; 3PA up 0.80 z; FG up 0.71 z; 3P up 0.64 z
Jalen Duren,Interior Bigs,Interior Bigs,FALSE,3,3,FT up 1.53 z; FTA up 1.46 z; PF down 1.38 z; 2PA up 1.12 z; 2P up 1.10 z,Archetype stayed the same; biggest standardized shifts: FT up 1.53 z; FTA up 1.46 z; PF down 1.38 z; 2PA up 1.12 z; 2P up 1.10 z
James Harden,Primary Shot Creators,Primary Shot Creators,FALSE,7,7,TOV down 1.67 z; STL down 1.61 z; Trp-Dbl down 0.97 z; BLK down 0.90 z; AST down 0.88 z,Archetype stayed the same; biggest standardized shifts: TOV down 1.67 z; STL down 1.61 z; Trp-Dbl down 0.97 z; BLK down 0.90 z; AST down 0.88 z
Jaylen Wells,Low-Usage Role Players,Low-Usage Role Players,FALSE,4,4,STL up 0.71 z; ORB down 0.42 z; FTA up 0.30 z; TRB down 0.27 z; 2PA up 0.20 z,Archetype stayed the same; biggest standardized shifts: STL up 0.71 z; ORB down 0.42 z; FTA up 0.30 z; TRB down 0.27 z; 2PA up 0.20 z
Julius Randle,Versatile Two-Way Forwards,Versatile Two-Way Forwards,FALSE,6,6,STL up 1.56 z; FTA up 1.29 z; FT up 1.19 z; PF up 1.16 z; 2PA up 1.02 z,Archetype stayed the same; biggest standardized shifts: STL up 1.56 z; FTA up 1.29 z; FT up 1.19 z; PF up 1.16 z; 2PA up 1.02 z
Karl-Anthony Towns,Interior Bigs,Interior Bigs,FALSE,3,3,FG down 0.84 z; 2P down 0.69 z; 2PA down 0.65 z; FGA down 0.62 z; 3P down 0.47 z,Archetype stayed the same; biggest standardized shifts: FG down 0.84 z; 2P down 0.69 z; 2PA down 0.65 z; FGA down 0.62 z; 3P down 0.47 z
Keyonte George,Perimeter Shooters and Secondary Guards,Perimeter Shooters and Secondary Guards,FALSE,2,2,FT up 0.97 z; 3PA down 0.90 z; FTA up 0.74 z; 2P up 0.63 z; 3P down 0.62 z,Archetype stayed the same; biggest standardized shifts: FT up 0.97 z; 3PA down 0.90 z; FTA up 0.74 z; 2P up 0.63 z; 3P down 0.62 z
Kris Dunn,Low-Usage Role Players,Low-Usage Role Players,FALSE,4,4,TOV up 0.71 z; AST up 0.59 z; FT up 0.48 z; FTA up 0.48 z; BLK down 0.35 z,Archetype stayed the same; biggest standardized shifts: TOV up 0.71 z; AST up 0.59 z; FT up 0.48 z; FTA up 0.48 z; BLK down 0.35 z
Kyshawn George,Low-Usage Role Players,Low-Usage Role Players,FALSE,4,4,PF down 0.83 z; STL down 0.78 z; 3PA down 0.59 z; 2PA up 0.54 z; TOV up 0.48 z,Archetype stayed the same; biggest standardized shifts: PF down 0.83 z; STL down 0.78 z; 3PA down 0.59 z; 2PA up 0.54 z; TOV up 0.48 z
Luguentz Dort,Low-Usage Role Players,Low-Usage Role Players,FALSE,4,4,PF down 0.72 z; STL down 0.66 z; 3P down 0.62 z; ORB down 0.57 z; FG down 0.40 z,Archetype stayed the same; biggest standardized shifts: PF down 0.72 z; STL down 0.66 z; 3P down 0.62 z; ORB down 0.57 z; FG down 0.40 z
Luka Dončić,Primary Shot Creators,Primary Shot Creators,FALSE,7,7,FTA up 1.99 z; FT up 1.88 z; Trp-Dbl down 1.62 z; FG up 1.59 z; FGA up 1.50 z,Archetype stayed the same; biggest standardized shifts: FTA up 1.99 z; FT up 1.88 z; Trp-Dbl down 1.62 z; FG up 1.59 z; FGA up 1.50 z
Max Christie,Low-Usage Role Players,Low-Usage Role Players,FALSE,4,4,3P up 0.98 z; 3PA up 0.82 z; STL down 0.70 z; FG up 0.49 z; FGA up 0.46 z,Archetype stayed the same; biggest standardized shifts: 3P up 0.98 z; 3PA up 0.82 z; STL down 0.70 z; FG up 0.49 z; FGA up 0.46 z
Miles Bridges,Versatile Two-Way Forwards,Versatile Two-Way Forwards,FALSE,6,6,PF up 0.95 z; TOV down 0.49 z; BLK down 0.47 z; Trp-Dbl down 0.32 z; DRB down 0.24 z,Archetype stayed the same; biggest standardized shifts: PF up 0.95 z; TOV down 0.49 z; BLK down 0.47 z; Trp-Dbl down 0.32 z; DRB down 0.24 z
Miles McBride,Low-Usage Role Players,Low-Usage Role Players,FALSE,4,4,STL down 1.18 z; PF down 0.96 z; AST down 0.55 z; FGA down 0.49 z; 2PA down 0.45 z,Archetype stayed the same; biggest standardized shifts: STL down 1.18 z; PF down 0.96 z; AST down 0.55 z; FGA down 0.49 z; 2PA down 0.45 z
Myles Turner,Defensive Rim Protectors,Defensive Rim Protectors,FALSE,1,1,BLK down 1.01 z; 2P down 0.74 z; FG down 0.73 z; 2PA down 0.67 z; TOV down 0.66 z,Archetype stayed the same; biggest standardized shifts: BLK down 1.01 z; 2P down 0.74 z; FG down 0.73 z; 2PA down 0.67 z; TOV down 0.66 z
Naz Reid,Defensive Rim Protectors,Defensive Rim Protectors,FALSE,1,1,STL up 0.74 z; TOV up 0.26 z; 3P down 0.21 z; FGA down 0.18 z; FT down 0.18 z,Archetype stayed the same; biggest standardized shifts: STL up 0.74 z; TOV up 0.26 z; 3P down 0.21 z; FGA down 0.18 z; FT down 0.18 z
Nic Claxton,Defensive Rim Protectors,Defensive Rim Protectors,FALSE,1,1,BLK down 0.80 z; AST up 0.68 z; FTA up 0.58 z; FT up 0.56 z; STL down 0.54 z,Archetype stayed the same; biggest standardized shifts: BLK down 0.80 z; AST up 0.68 z; FTA up 0.58 z; FT up 0.56 z; STL down 0.54 z
Norman Powell,Perimeter Shooters and Secondary Guards,Perimeter Shooters and Secondary Guards,FALSE,2,2,FT up 0.46 z; FTA up 0.43 z; STL down 0.36 z; 3P down 0.35 z; PF up 0.34 z,Archetype stayed the same; biggest standardized shifts: FT up 0.46 z; FTA up 0.43 z; STL down 0.36 z; 3P down 0.35 z; PF up 0.34 z
Onyeka Okongwu,Defensive Rim Protectors,Defensive Rim Protectors,FALSE,1,1,3PA up 1.47 z; 3P up 1.46 z; ORB down 1.35 z; PF up 1.29 z; TOV up 0.62 z,Archetype stayed the same; biggest standardized shifts: 3PA up 1.47 z; 3P up 1.46 z; ORB down 1.35 z; PF up 1.29 z; TOV up 0.62 z
P.J. Washington,Defensive Rim Protectors,Defensive Rim Protectors,FALSE,1,1,DRB down 0.40 z; TOV down 0.40 z; PF down 0.34 z; TRB down 0.28 z; STL down 0.27 z,Archetype stayed the same; biggest standardized shifts: DRB down 0.40 z; TOV down 0.40 z; PF down 0.34 z; TRB down 0.28 z; STL down 0.27 z
Paolo Banchero,Versatile Two-Way Forwards,Versatile Two-Way Forwards,FALSE,6,6,DRB up 1.73 z; FT up 1.66 z; FTA up 1.63 z; TOV up 1.51 z; TRB up 1.46 z,Archetype stayed the same; biggest standardized shifts: DRB up 1.73 z; FT up 1.66 z; FTA up 1.63 z; TOV up 1.51 z; TRB up 1.46 z
Pascal Siakam,Versatile Two-Way Forwards,Versatile Two-Way Forwards,FALSE,6,6,PF down 1.01 z; ORB down 0.78 z; TRB down 0.73 z; DRB down 0.65 z; BLK down 0.57 z,Archetype stayed the same; biggest standardized shifts: PF down 1.01 z; ORB down 0.78 z; TRB down 0.73 z; DRB down 0.65 z; BLK down 0.57 z
Payton Pritchard,Perimeter Shooters and Secondary Guards,Perimeter Shooters and Secondary Guards,FALSE,2,2,2PA up 1.25 z; 2P up 1.03 z; AST up 0.91 z; FGA up 0.78 z; FG up 0.67 z,Archetype stayed the same; biggest standardized shifts: 2PA up 1.25 z; 2P up 1.03 z; AST up 0.91 z; FGA up 0.78 z; FG up 0.67 z
Peyton Watson,Low-Usage Role Players,Low-Usage Role Players,FALSE,4,4,BLK down 1.11 z; TOV up 0.62 z; FG up 0.57 z; FGA up 0.54 z; 3P up 0.52 z,Archetype stayed the same; biggest standardized shifts: BLK down 1.11 z; TOV up 0.62 z; FG up 0.57 z; FGA up 0.54 z; 3P up 0.52 z
Quentin Grimes,Perimeter Shooters and Secondary Guards,Perimeter Shooters and Secondary Guards,FALSE,2,2,3P down 0.55 z; PF up 0.49 z; FT up 0.39 z; FG down 0.32 z; DRB down 0.31 z,Archetype stayed the same; biggest standardized shifts: 3P down 0.55 z; PF up 0.49 z; FT up 0.39 z; FG down 0.32 z; DRB down 0.31 z
Royce O'Neale,Low-Usage Role Players,Low-Usage Role Players,FALSE,4,4,STL up 0.74 z; PF up 0.71 z; TOV up 0.63 z; 3PA up 0.51 z; 3P up 0.50 z,Archetype stayed the same; biggest standardized shifts: STL up 0.74 z; PF up 0.71 z; TOV up 0.63 z; 3PA up 0.51 z; 3P up 0.50 z
Rudy Gobert,Interior Bigs,Interior Bigs,FALSE,3,3,BLK up 0.58 z; ORB up 0.53 z; TRB up 0.50 z; PF up 0.39 z; DRB up 0.39 z,Archetype stayed the same; biggest standardized shifts: BLK up 0.58 z; ORB up 0.53 z; TRB up 0.50 z; PF up 0.39 z; DRB up 0.39 z
Rui Hachimura,Low-Usage Role Players,Low-Usage Role Players,FALSE,4,4,ORB down 0.65 z; TRB down 0.40 z; FT down 0.38 z; FTA down 0.30 z; DRB down 0.25 z,Archetype stayed the same; biggest standardized shifts: ORB down 0.65 z; TRB down 0.40 z; FT down 0.38 z; FTA down 0.30 z; DRB down 0.25 z
Santi Aldama,Low-Usage Role Players,Low-Usage Role Players,FALSE,4,4,3P down 0.81 z; DRB down 0.79 z; 3PA down 0.77 z; TRB down 0.72 z; FGA down 0.59 z,Archetype stayed the same; biggest standardized shifts: 3P down 0.81 z; DRB down 0.79 z; 3PA down 0.77 z; TRB down 0.72 z; FGA down 0.59 z
Shai Gilgeous-Alexander,Primary Shot Creators,Primary Shot Creators,FALSE,7,7,STL down 1.40 z; FGA down 1.17 z; 2PA down 0.87 z; FG down 0.87 z; 3PA down 0.84 z,Archetype stayed the same; biggest standardized shifts: STL down 1.40 z; FGA down 1.17 z; 2PA down 0.87 z; FG down 0.87 z; 3PA down 0.84 z
Stephon Castle,Versatile Two-Way Forwards,Versatile Two-Way Forwards,FALSE,6,6,PF up 1.52 z; AST up 1.18 z; TOV up 0.70 z; FGA down 0.60 z; 3PA down 0.55 z,Archetype stayed the same; biggest standardized shifts: PF up 1.52 z; AST up 1.18 z; TOV up 0.70 z; FGA down 0.60 z; 3PA down 0.55 z
Trey Murphy III,Perimeter Shooters and Secondary Guards,Perimeter Shooters and Secondary Guards,FALSE,2,2,STL up 1.68 z; 3P up 0.84 z; 3PA up 0.81 z; FG up 0.79 z; DRB up 0.74 z,Archetype stayed the same; biggest standardized shifts: STL up 1.68 z; 3P up 0.84 z; 3PA up 0.81 z; FG up 0.79 z; DRB up 0.74 z
Wendell Carter Jr.,Defensive Rim Protectors,Defensive Rim Protectors,FALSE,1,1,PF up 1.66 z; FG up 0.70 z; FT up 0.63 z; FTA up 0.59 z; DRB up 0.56 z,Archetype stayed the same; biggest standardized shifts: PF up 1.66 z; FG up 0.70 z; FT up 0.63 z; FTA up 0.59 z; DRB up 0.56 z
